ID,NAME,LOCATION,URL,START,END
39,Liverpool Health & Wellness Conference,Liverpool,www.liverpoolhealthwellness.co.uk,30/03/2025 09:00:00,01/04/2025 17:00:00
40,Birmingham Tech Summit,Birmingham,www.birminghamtechsummit.co.uk,02/04/2025 09:00:00,04/04/2025 17:00:00
41,London Finance & Investment Forum,London,www.londonfinanceforum.co.uk,05/01/2025 09:00:00,06/01/2025 17:00:00
42,Manchester Environmental Summit,Manchester,www.manchesterenvsummit.co.uk,08/01/2025 09:00:00,09/01/2025 17:00:00
43,Glasgow Culinary Arts Week,Glasgow,www.glasgowculinaryarts.co.uk,11/01/2025 10:00:00,17/01/2025 17:00:00
44,Liverpool Automotive Show,Liverpool,www.liverpoolautoshow.co.uk,19/01/2025 10:00:00,21/01/2025 18:00:00
45,Birmingham Architecture Expo,Birmingham,www.birminghamarchexpo.co.uk,23/01/2025 09:00:00,26/01/2025 17:00:00
46,London Photography Exhibition,London,www.londonphotoexhibition.co.uk,28/01/2025 09:00:00,31/01/2025 17:00:00
47,Manchester Book Fair,Manchester,www.manchesterbookfair.co.uk,02/02/2025 10:00:00,04/02/2025 17:00:00
48,Glasgow Innovation Summit,Glasgow,www.glasgowinnovationsummit.co.uk,06/02/2025 09:00:00,08/02/2025 17:00:00
49,Liverpool Marketing Forum,Liverpool,www.liverpoolmarketingforum.co.uk,10/02/2025 09:00:00,11/02/2025 17:00:00
50,Birmingham Medical Symposium,Birmingham,www.birminghammedsymposium.co.uk,13/02/2025 09:00:00,14/02/2025 17:00:00
